No.,유지관리번호,작업유형,시공사,고객사,유지관리명,진척률,작업기간,,비용계정,PO금액,PR번호,PO번호
,,,,,,,시작,종료,,,,
1,CI25006330,긴급 기계 보수(후정산),수안,솔루션,기숙사 및 사택 긴급보수 작업(기계)-1차,80,2025-04-25,2025-11-30,기숙사/사택 수선비,"4,851,475",93036018-10,4570046106-10
2,CI25010573,기타 보수(기숙사/사택),하이엠솔루텍,솔루션,사택 어린이집 전열교환기 고효율 필터교체,100,2025-11-08,2025-11-08,어린이집,"3,837,750",93053153-10,4570075834-10
3,CI25011176,기타 보수(기숙사/사택),일성건축,솔루션,사택 101-403 현관 방화문 교체,100,2025-09-01,2025-09-05,기숙사/사택 수선비,"2,185,475",93056754-10,4570079401-10
4,CI25012975,기타 보수(기숙사/사택),일성건축,솔루션,사택 9-204 현관 방화문 수리,100,2025-10-20,2025-10-20,기숙사/사택 수선비,"1,106,175",93069713-10,4570092355-10
5,CI25013113,기타 보수(기숙사/사택),준마,솔루션,기숙사 3동 소방 압력탱크 안전밸브 교체,100,2025-08-27,2025-10-30,기숙사/사택 수선비,"589,100",93070997-10,4570093908-10
6,CI25013125,기타 보수(기숙사/사택),준마,솔루션,기숙사 AB동 비상방송 고장 엠프 교체,100,2025-08-27,2025-10-30,기숙사/사택 수선비,"4,390,300",93071360-10,4570093909-10
7,CI25013287,기타 보수(기숙사/사택),일성건축,화학,사택 6-202 앞베란다 안전 난간대 보수,100,2025-10-20,2025-10-20,기숙사/사택 수선비,"861,075",94458068-10,4510021347-10
8,CI25013367,기타 보수(기숙사/사택),일성건축,솔루션,사택 5동 지하 주차장 비상계단 방화문 교체,100,2025-09-16,2025-09-18,기숙사/사택 수선비,"5,262,125",93073110-10,4570096017-10
9,CI25013664,사택 공가 수장공사,일성건축,솔루션,사택 9-506 수장공사,100,2025-09-15,2025-10-01,기숙사/사택 수선비,"5,571,725",93075264-20,4570098121-10
10,CI25013667,사택 공가 수장공사,일성건축,솔루션,사택 102-402 수장공사,100,2025-09-16,2025-10-01,기숙사/사택 수선비,"5,792,100",93075264-50,4570098124-10
11,CI25013706,기타 보수(기숙사/사택),일성건축,솔루션,사택 8동 우수 맨홀 침하 보수 작업,100,2025-11-03,2025-11-10,기숙사/사택 수선비,"4,416,100",93075660-10,4570098357-10
12,CI25013707,기타 보수(기숙사/사택),일성건축,솔루션,기숙사 B동 1001호옆 발코니 타일교체,100,2025-09-23,2025-10-22,기숙사/사택 수선비,"7,660,450",93075668-10,4570098908-10
13,CI25014687,기타 보수(기숙사/사택),일성건축,솔루션,사택 8동 및 9동 공동 현관 도어보수,100,2025-09-29,2025-09-30,기숙사/사택 수선비,"1,674,850",93083528-10,4570105641-10
14,CI25014705,기타 보수(기숙사/사택),일성건축,솔루션,사택 102동 어린이집 옥외 놀이터 보도블록 및 화단 보수,100,2025-09-15,2025-11-10,어린이집,"3,789,375",93083912-10,4570106099-10
15,CI25014945,사택 7동 LED등 교체,대양이엔지,솔루션,사택 7-202외 1세대 LED등기구 교체,100,2025-10-28,2025-10-29,기숙사/사택 수선비,"1,187,875",93085535-10,4570107954-10
16,CI25016229,사택 세대내 보일러 교체(개별),귀뚜라미보일러,솔루션,사택 101-202 세대내 보일러 납품,0,2025-12-16,2025-12-16,투자,"1,075,000",93098274-30,4570127523-10
17,CI25015108,사택 공가 수장공사,일성건축,솔루션,사택 2-304 수장공사,100,2025-10-17,2025-10-27,기숙사/사택 수선비,"3,465,800",93086767-10,4570109294-10
18,CI25015109,사택 씽크대 문짝 교체,일성건축,솔루션,사택 2-304 씽크대 상하부장 문짝교체,100,2025-11-04,2025-11-10,기숙사/사택 수선비,"1,230,875",93086767-20,4570109295-10
19,CI25015110,사택 공가 수장공사,일성건축,솔루션,사택 5-101 수장공사,100,2025-10-16,2025-10-24,기숙사/사택 수선비,"5,234,175",93086828-10,4570109301-10
20,CI25015111,사택 공가 수장공사,일성건축,솔루션,사택 5-504 수장공사,100,2025-10-15,2025-10-24,기숙사/사택 수선비,"4,200,025",93086771-10,4570109296-10
21,CI25015112,사택 공가 수장공사,일성건축,솔루션,사택 7-202 수장공사,100,2025-10-14,2025-10-23,기숙사/사택 수선비,"3,594,800",93086773-10,4570109297-10
22,CI25015113,사택 공가 수장공사,일성건축,솔루션,사택 7-301 수장공사,100,2025-10-14,2025-10-23,기숙사/사택 수선비,"2,789,625",93086775-10,4570109298-10
23,CI25015114,사택 공가 수장공사,일성건축,솔루션,사택 7-408 수장공사,100,2025-10-17,2025-10-27,기숙사/사택 수선비,"2,789,625",93086780-10,4570109300-10
24,CI25015115,사택 씽크대 문짝 교체,일성건축,솔루션,사택 8-302 씽크대 상하부장 문짝교체,90,2025-11-14,2025-11-28,기숙사/사택 수선비,"1,174,975",93086778-10,4570109299-10
25,CI25015116,사택 공가 수장공사,일성건축,솔루션,사택 8-503 수장공사,100,2025-10-21,2025-10-30,기숙사/사택 수선비,"5,571,725",93086828-20,4570109333-10
26,CI25015117,사택 씽크대 문짝 교체,일성건축,솔루션,사택 8-503 씽크대 상하부장 문짝교체,100,2025-11-04,2025-11-10,기숙사/사택 수선비,"1,174,975",93086828-30,4570109334-10
27,CI25015118,사택 공가 수장공사,일성건축,솔루션,사택 102-304 수장공사,100,2025-10-22,2025-11-05,기숙사/사택 수선비,"4,708,500",93086827-10,4570109332-10
28,CI25015119,기타 보수(기숙사/사택),일성건축,솔루션,사택 1동-9동 주차장 주차면 정리,100,2025-10-23,2025-11-04,기숙사/사택 수선비,"2,517,650",93086763-10,4570109331-10
